t,x,y,z,ex,ey,ez,eox,eoy,eoz,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ax,ay,az
4.917999999999977,0.4382491229462183,0.2910764341686102,0.4311248073623133,0.0037496449144830413,-0.008923565831389813,0.006622377874723917,-0.044408881707188444,0.01601747146831557,-0.036334106645716964,0.00011643123449344477,-21.9255703800603,-0.45073711936580263,18.691495685700367,-0.07914832759864053,0.9871812357943389,-0.04510329439134103,-0.00018791500729258953,0.00012944398224902043,0.0002803691944917137
4.918999999999977,0.43824571610329444,0.2910845932320946,0.43111875698456303,0.0037462380715591603,-0.008915406767905365,0.006616327496973662,-0.04436865802258667,0.016003249324219503,-0.03630057313268355,0.00011601841059409452,-21.925871839793917,-0.4506750243477407,18.691407226162088,-0.07924030754737321,0.9871035329414489,-0.045043296845796416,-0.00018756447241859644,0.00012921195628274468,0.0002798606553510107
4.919999999999978,0.43824231230580807,0.29109274482677805,0.4311127121337823,0.0037428342740727927,-0.00890725517322194,0.006610282646192955,-0.04432847014582468,0.015989039461233267,-0.03626707055798238,0.00011560575134930294,-21.92617302774949,-0.4506129865476902,18.69131884147803,-0.07933219942532782,0.9870259020592057,-0.044983351294848956,-0.00018721458975650465,0.00012898033521255704,0.00027935302636729586
4.920999999999978,0.43823891155097966,0.2911008889594455,0.43110667280497983,0.003739433519244384,-0.008899111040554464,0.006604243317390457,-0.0442883180463728,0.015974841869225674,-0.03623359889346336,0.00011519325820636686,-21.92647394416149,-0.4505510059140129,18.69123053159723,-0.07942400331922031,0.9869483430811354,-0.0449234576980726,-0.0001868653581183118,0.000128749118437111,0.0002788463059954968
4.921999999999978,0.4382355138360325,0.2911090256368749,0.43110063899316686,0.003736035804297211,-0.008890974363125081,0.00659820950557749,-0.04424820169372453,0.015960656538070748,-0.03620015811100054,0.0001147809327929415,-21.926774589264515,-0.4504890823948911,18.691142296468975,-0.07951571931560239,0.986870855940798,-0.04486361601499819,-0.00018651677631808668,0.0001285183053554242,0.0002783404926928207
4.922999999999979,0.4382321191581948,0.29111715486584,0.43109461069335964,0.003732641126459546,-0.008882845134159989,0.0065921812057702645,-0.04420812105739744,0.015946483457651765,-0.036166748182492096,0.00011436877663303777,-21.927074963293244,-0.45042721593862944,18.691054136042265,-0.0796073475009763,0.9867934405718082,-0.044803826205192576,-0.00018616884317197724,0.00012828789536687845,0.0002778355849187718
4.923999999999979,0.43822872751469805,0.2911252766531086,0.43108858790057736,0.003729249482962771,-0.008874723346891378,0.006586158412987986,-0.044168076106930694,0.01593232261786047,-0.03613336907985962,0.00011395679123297879,-21.927375066482572,-0.45036540649357687,18.69096605026629,-0.07969888796177746,0.9867160969078849,-0.0447440882282657,-0.00018582155749819645,0.00012805788787122397,0.0002773315811351339
4.924999999999979,0.43822533890277854,0.2911333910054432,0.43108257060984245,0.003725860871043263,-0.008866608994556768,0.00658014112225308,-0.04412806681188752,0.015918174008595045,-0.036100020775050166,0.00011354497824534888,-21.927674899067632,-0.45030365400793826,18.690878039090205,-0.0797903407843282,0.986638824882727,-0.04468440204380829,-0.00018547491811702406,0.00012782828226857323,0.00027682847980596917
4.92599999999998,0.438221953319676,0.2911414979296013,0.4310765588161821,0.0037224752879407297,-0.008858502070398677,0.006574129328592748,-0.044088093141855376,0.01590403761976223,-0.03606670324003377,0.00011313333916686006,-21.92797446128352,-0.45024195843011483,18.69079010246306,-0.07988170605485669,0.9865616244301311,-0.044624767611437244,-0.00018512892385080467,0.00012759907795940482,0.00027632627939761997
4.92699999999998,0.43821857076263443,0.2911495974323343,0.43107055251462684,0.003719092730899154,-0.008850402567665672,0.006568123027037465,-0.044048155066443204,0.01588991344127667,-0.03603341644680417,0.00011272187563220336,-21.92827375336549,-0.4501803197083594,18.690702240333895,-0.07997298385953128,0.9864844954839342,-0.04456518489078144,-0.00018478357352393683,0.00012737027434456732,0.00027582497837870046
4.92799999999998,0.43821519122890157,0.29115768952038934,0.43106455170021035,0.0037157131971662927,-0.008842310479610649,0.00656212221262098,-0.04400825255528269,0.015875801463062316,-0.03600016036738061,0.00011231058912816006,-21.928572775549142,-0.4501187377911031,18.690614452651882,-0.08006417428448198,0.9864074379780824,-0.04450565384154276,-0.00018443886596287678,0.0001271418708252755,0.0002753245752200961
4.928999999999981,0.438211814715729,0.29116577420050616,0.4310585563679702,0.0037123366839937333,-0.008834225799493833,0.006556126880380819,-0.04396838557803272,0.01586170167504922,-0.035966934973805806,0.00011189948143750121,-21.928871528070022,-0.45005721262650866,18.690526739366174,-0.08015527741562209,0.9863304518464726,-0.04444617442337892,-0.00018409479999612549,0.0001269138668031097,0.0002748250683949497
4.929999999999981,0.438208441220373,0.291173851479422,0.43105256651294865,0.003708963188637726,-0.008826148520578003,0.006550137025359282,-0.04392855410436937,0.01584761406717501,-0.03593374023814556,0.00011148855392671317,-21.929170011163738,-0.4499957441631565,18.690439100425575,-0.08024629333892733,0.9862535370231416,-0.04438674659595748,-0.00018375137445423873,0.00012668626168002003,0.00027432645637868097
4.930999999999981,0.4382050707400928,0.29118192136386567,0.4310465821301902,0.003705592708357519,-0.008818078636134319,0.006544152642600831,-0.04388875810399702,0.015833538629387058,-0.035900576132490536,0.00011107780841582816,-21.929468225066252,-0.4499343323492043,18.690351535779374,-0.08033722214017341,0.9861766934421463,-0.044327370319018206,-0.0001834085881698071,0.00012645905485832734,0.00027382873764895493
4.931999999999982,0.4382017032721523,0.29118998386056305,0.4310406032147442,0.003702225240417023,-0.008810016139436938,0.006538173727154817,-0.04384899754664034,0.015819475351639176,-0.035867442628955054,0.00011066724638114213,-21.929766170013465,-0.44987297713315677,18.690264045376455,-0.08042806390512622,0.9860999210376049,-0.04426804555227366,-0.0001830664399774659,0.00012623224574072063,0.00027333191068570347
4.932999999999982,0.438198338813819,0.29119803897623353,0.4310346297616625,0.0036988607820837016,-0.008801961023766458,0.006532200274073141,-0.04380927240204719,0.015805424223893617,-0.03583433969967794,0.0001102568694618495,-21.9300638462416,-0.4498116784633838,18.690176629165983,-0.08051881871945896,0.9860232197437057,-0.04420877225549051,-0.000182724928713882,0.00012600583373026004,0.00027283597397110345
4.933999999999982,0.4381949773623644,0.29120608671759113,0.4310286617660022,0.003695499330629126,-0.00879391328240886,0.0065262322784128135,-0.04376958263998979,0.01579138523612126,-0.03580126731682103,0.00010984667931196072,-21.930361253986767,-0.44975043628825473,18.690089287096857,-0.08060948666873838,0.9859465894946714,-0.04414955038842673,-0.00018238405321775443,0.00012577981823037526,0.0002723409259895824
4.934999999999983,0.4381916189150637,0.29121412709134453,0.43102269922282266,0.003692140883328421,-0.008785872908655457,0.006520269735233286,-0.043729928230262706,0.015777358378298915,-0.035768225452571065,0.0001094366775664732,-21.930658393485352,-0.4496892505561832,18.69000201911817,-0.08070006783844169,0.9858700302247724,-0.044090379910860886,-0.00018204381232980775,0.00012555419864486905,0.0002718467652278113
4.935999999999983,0.43818826346919587,0.2912221601041971,0.4310167421271877,0.0036887854374605955,-0.008777839895802886,0.006514312639598341,-0.0436903091426848,0.015763343640413065,-0.03573521407913711,0.00010902686580394611,-21.93095526497381,-0.4496281212156429,18.689914825178917,-0.08079056231395736,0.9857935418683929,-0.044031260782582626,-0.00018170420489279507,0.00012532897437791555,0.0002713534901747067
4.936999999999983,0.43818491102204454,0.2912301857628472,0.43101079047416496,0.0036854329903092675,-0.008769814237152784,0.00650836098657559,-0.04365072534709466,0.01574934101245754,-0.035702233168753934,0.00010861724571780917,-21.931251868688715,-0.44956704821501897,18.689827705228023,-0.08088097018065869,0.9857171243598836,-0.04397219296343191,-0.0001813652297514819,0.0001251041448340649,0.0002708610993214237
4.937999999999984,0.43818156157089677,0.2912382040739873,0.4310048442588248,0.003682083539161496,-0.008761795926012672,0.006502414771235421,-0.043611176813357376,0.01573535048443324,-0.035669282693680054,0.00010820781900151112,-21.931548204866875,-0.449506031502716,18.689740659214582,-0.08097129152375651,0.9856407776336884,-0.04391317641323983,-0.00018102688575265637,0.00012487970941823707,0.00027036959116134873
4.938999999999984,0.438178215113043,0.29124621504430476,0.4309989034762424,0.003678737081307726,-0.008753784955695232,0.006496473988653051,-0.043571663511360124,0.015721372046349994,-0.03563636262619559,0.00010779858722258784,-21.931844273744993,-0.4494450710272921,18.68965368708751,-0.0810615264283868,0.9855645016243455,-0.04385421109184341,-0.00018068917174512,0.00012465566753572553,0.0002698789641901047
4.939999999999984,0.43817487164577834,0.29125421868048185,0.4309929681214963,0.0036753936140430654,-0.008745781319518142,0.006490538633906917,-0.04353218541101222,0.015707405688225057,-0.03560347293860744,0.00010738955206812114,-21.93214007556003,-0.4493841667371748,18.68956678879575,-0.08115167497966339,0.9854882962663876,-0.043795296959143595,-0.00018035208657967737,0.0001244320185922039,0.00026938921690554266
4.940999999999985,0.43817153116640084,0.2912622149891946,0.43098703818966866,0.003672053134665565,-0.00873778501080541,0.006484608702079286,-0.043492742482247264,0.015693451400083637,-0.03557061360324437,0.00010698071522558889,-21.93243561054897,-0.4493233185808494,18.68947996428829,-0.08124173726255045,0.9854121614944508,-0.04373643397502641,-0.00018001562910914103,0.00012420876199371764,0.00026890034780773485
4.941999999999985,0.43816819367221344,0.29127020397711456,0.430981113675845,0.0036687156404781596,-0.008729796022885428,0.006478684188255646,-0.04345333469502088,0.015679509171958598,-0.03553778459245927,0.00010657207837058735,-21.932730878949037,-0.4492625265068003,18.689393213514077,-0.08133171336194267,0.9853360972431826,-0.04367762209937989,-0.00017967979818832416,0.00012398589714669045,0.00026841235539897933
4.942999999999985,0.4381648591605221,0.2912781856509078,0.4309751945751151,0.0036653811287868376,-0.008721814349092194,0.0064727650875257,-0.04341396201931156,0.01566557899389096,-0.035504985878629436,0.00010616364314250783,-21.933025880997434,-0.44920179046357156,18.689306536422045,-0.08142160336268724,0.9852601034473227,-0.04361886129215252,-0.00017934459267404088,0.00012376342345792133,0.000267925238183794
